overall_qual,overall_cond,year_remod/add,exter_qual,exter_cond,kitchen_qual,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,wood_deck_sf,pool_area,misc_val,heating_qc,bsmt_cond,bsmtfin_sf_1,total_bsmt_sf,bsmt_full_bath,bsmt_half_bath,fireplace_qu,garage_qual,garage_cond,saleprice,house_style,heating,central_air,electrical,paved_drive,garage_finish,fence,bsmtfin_type_1
5,5,2005,3,3,4,2,0,3,1,7,0,0,0,0,5,3.0,0.0,1430.0,0.0,0.0,,3.0,3.0,173500,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,Unf
5,5,1950,3,3,3,1,0,4,1,7,0,0,0,0,2,3.0,0.0,624.0,0.0,0.0,,2.0,2.0,98000,story_2,GasA,N,SBrkr,Y,Unf,no_fence,Unf
5,6,1963,3,3,3,1,0,3,1,5,0,0,0,0,3,3.0,651.0,1121.0,1.0,0.0,,3.0,3.0,139000,story_1,GasA,Y,SBrkr,Y,Unf,MnPrv,Rec
6,5,1977,3,3,3,1,1,3,1,7,1,138,0,0,5,3.0,0.0,660.0,0.0,0.0,3.0,3.0,3.0,143500,story_1,GasA,Y,SBrkr,Y,RFn,MnPrv,Unf
7,5,2009,3,3,4,2,1,3,1,7,0,169,0,0,5,3.0,24.0,756.0,0.0,0.0,,3.0,3.0,215200,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,GLQ
5,5,1968,3,3,3,1,0,3,1,5,1,0,0,0,4,3.0,492.0,894.0,0.0,0.0,1.0,3.0,3.0,129000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,BLQ
8,5,2000,4,3,5,2,0,2,1,5,1,212,0,0,5,3.0,1158.0,1501.0,1.0,0.0,5.0,3.0,3.0,278000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
8,5,2006,4,3,5,2,1,3,1,8,1,243,0,0,5,3.0,0.0,1209.0,0.0,0.0,4.0,3.0,3.0,344133,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,Unf
6,7,2007,3,4,3,2,0,3,1,6,0,483,0,1000,5,3.0,935.0,1168.0,1.0,0.0,,3.0,3.0,185000,story_1,GasA,Y,SBrkr,Y,Fin,GdPrv,ALQ
5,5,1955,3,3,3,1,0,3,1,5,0,264,0,0,3,3.0,1056.0,1056.0,1.0,0.0,,3.0,3.0,145000,story_1,GasA,N,SBrkr,Y,Fin,no_fence,Rec
6,6,1961,3,3,3,2,0,3,1,6,1,0,0,0,5,3.0,1312.0,1453.0,1.0,0.0,3.0,3.0,3.0,187500,story_1,GasA,Y,SBrkr,Y,RFn,GdPrv,Rec
5,8,2009,3,4,3,1,0,3,1,5,1,416,0,0,5,3.0,553.0,894.0,1.0,0.0,4.0,3.0,3.0,138500,story_1,GasA,Y,SBrkr,Y,Unf,MnPrv,GLQ
5,6,1995,3,3,4,2,0,4,1,7,1,0,0,0,5,3.0,606.0,942.0,0.0,0.0,4.0,3.0,3.0,198000,story_1_half_fin,GasA,Y,SBrkr,Y,Unf,no_fence,BLQ
5,6,2006,3,4,3,2,0,4,2,9,0,0,0,0,2,3.0,0.0,957.0,0.0,0.0,,,,119600,story_2,GasA,N,SBrkr,N,no_garage,no_fence,Unf
5,7,2006,3,4,3,1,0,3,1,6,1,0,0,5000,5,3.0,0.0,672.0,0.0,0.0,1.0,3.0,3.0,122900,story_1_half_fin,GasA,Y,SBrkr,Y,Unf,MnPrv,Unf
8,5,1981,4,3,4,2,1,4,1,9,1,474,0,0,3,3.0,1104.0,2524.0,1.0,0.0,4.0,3.0,3.0,278000,story_1,GasA,Y,SBrkr,Y,Fin,MnPrv,ALQ
8,7,1950,3,3,4,1,0,3,1,7,2,0,0,0,2,3.0,0.0,792.0,0.0,0.0,4.0,3.0,3.0,230000,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,Unf
8,5,1996,4,4,5,1,1,2,1,6,1,0,0,0,5,4.0,437.0,1494.0,1.0,0.0,4.0,3.0,3.0,270000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,LwQ
6,6,1952,3,3,3,1,0,2,1,5,0,0,0,0,3,3.0,441.0,948.0,0.0,0.0,,3.0,3.0,125000,story_1,GasA,Y,SBrkr,N,Unf,no_fence,ALQ
8,5,2008,4,3,4,2,0,3,1,7,1,208,0,0,5,3.0,1288.0,1705.0,1.0,0.0,4.0,3.0,3.0,297000,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
6,6,1958,3,3,3,1,0,2,1,5,1,0,0,0,2,3.0,0.0,160.0,0.0,0.0,4.0,3.0,3.0,113500,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,Unf
5,6,1977,3,3,3,2,0,4,1,6,1,104,0,0,5,3.0,548.0,757.0,0.0,0.0,3.0,3.0,3.0,127000,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,ALQ
6,6,1977,3,3,3,2,0,3,1,7,1,0,0,0,5,3.0,705.0,1844.0,0.0,0.0,3.0,3.0,3.0,190000,story_1,GasA,Y,SBrkr,Y,RFn,MnPrv,BLQ
7,6,1973,3,3,3,1,1,3,1,6,1,0,0,0,2,3.0,916.0,1242.0,0.0,0.0,3.0,3.0,3.0,175500,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,ALQ
5,7,1994,3,4,3,1,0,3,1,5,0,256,0,0,5,4.0,420.0,990.0,1.0,0.0,,3.0,3.0,146000,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,GLQ
5,6,1965,4,3,3,1,1,3,1,6,0,736,0,0,4,3.0,830.0,1256.0,1.0,0.0,,3.0,3.0,147500,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,BLQ
10,5,2006,5,3,5,2,1,2,1,7,1,216,0,0,5,4.0,1386.0,2076.0,1.0,0.0,4.0,3.0,3.0,465000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
5,6,1978,3,4,4,1,0,1,1,4,1,303,0,0,5,3.0,1097.0,1097.0,1.0,0.0,3.0,3.0,3.0,165500,split_foyer,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
5,5,1954,3,3,3,2,0,4,1,7,0,0,0,0,5,3.0,0.0,1050.0,0.0,0.0,,2.0,3.0,131500,story_1_half_fin,GasA,N,FuseF,Y,Unf,no_fence,Unf
5,5,1965,3,3,3,1,0,3,1,5,0,0,0,0,5,3.0,906.0,1040.0,1.0,0.0,,3.0,3.0,129500,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,Rec
8,6,1950,3,3,3,1,1,4,1,9,2,0,0,0,3,2.0,210.0,608.0,0.0,0.0,4.0,2.0,3.0,257076,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,LwQ
5,5,1960,3,3,3,2,0,3,1,6,0,0,0,0,5,3.0,408.0,984.0,0.0,0.0,,3.0,3.0,117000,story_1_half_fin,GasA,Y,SBrkr,Y,Unf,no_fence,LwQ
7,6,2000,3,2,3,1,1,3,1,6,1,0,0,0,3,3.0,0.0,776.0,0.0,0.0,4.0,3.0,3.0,149000,story_2,GasA,Y,SBrkr,P,RFn,MnPrv,Unf
5,5,1954,3,3,3,1,0,3,1,6,0,0,0,0,3,3.0,354.0,1056.0,1.0,0.0,,3.0,3.0,128000,story_1,GasA,Y,SBrkr,Y,RFn,MnPrv,Rec
7,5,2004,4,3,4,2,1,2,1,6,0,0,0,0,5,3.0,0.0,764.0,0.0,0.0,,3.0,3.0,155000,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,Unf
6,5,2000,4,3,4,2,1,2,1,4,0,0,0,0,5,3.0,353.0,756.0,0.0,0.0,,3.0,3.0,166000,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,GLQ
4,3,1950,3,3,4,2,0,4,1,7,2,431,0,0,3,3.0,622.0,1122.0,1.0,0.0,3.0,3.0,3.0,135000,story_1_half_fin,GasA,Y,SBrkr,Y,Unf,MnPrv,BLQ
7,5,1978,3,3,4,3,1,5,1,12,2,0,1,5000,3,3.0,790.0,1392.0,1.0,0.0,3.0,3.0,3.0,250000,story_2,GasA,Y,SBrkr,Y,RFn,MnPrv,BLQ
4,7,1970,3,3,3,1,1,3,1,5,0,200,0,0,5,3.0,176.0,546.0,0.0,0.0,,,,76000,story_2,GasA,Y,SBrkr,Y,no_garage,no_fence,GLQ
6,6,1951,3,3,4,1,1,2,1,5,1,0,0,0,3,3.0,0.0,216.0,0.0,0.0,4.0,3.0,3.0,155000,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,Unf
6,7,1969,3,3,3,1,1,4,1,7,0,379,0,0,3,3.0,371.0,663.0,0.0,0.0,,3.0,3.0,158000,story_2,GasA,Y,SBrkr,Y,Fin,MnPrv,ALQ
7,5,2005,4,3,4,2,1,2,1,4,0,0,0,0,5,3.0,368.0,600.0,1.0,0.0,,3.0,3.0,149500,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
5,6,1975,3,4,3,1,0,2,1,5,0,0,0,0,3,3.0,486.0,936.0,0.0,0.0,,3.0,3.0,121000,story_1,GasA,Y,FuseA,Y,Unf,MnPrv,BLQ
6,7,1953,3,3,3,1,0,3,1,6,0,0,0,0,3,3.0,85.0,1040.0,0.0,1.0,,3.0,3.0,136000,story_1,GasA,Y,FuseF,Y,Fin,MnPrv,Rec
6,5,1996,3,3,3,2,1,3,1,7,1,168,0,0,4,3.0,138.0,916.0,0.0,0.0,3.0,3.0,3.0,173000,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,Rec
8,7,2007,4,3,4,2,1,4,1,9,1,132,0,0,5,3.0,524.0,1152.0,0.0,0.0,4.0,3.0,3.0,290000,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
8,5,2007,4,3,5,2,1,4,1,11,1,208,0,0,5,3.0,64.0,1184.0,0.0,0.0,4.0,3.0,3.0,303477,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
7,7,2001,4,4,3,1,1,1,1,4,2,496,0,0,4,3.0,1092.0,1420.0,1.0,0.0,3.0,3.0,3.0,270000,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,ALQ
5,5,1950,2,2,5,1,0,2,1,6,1,0,0,0,4,3.0,360.0,936.0,0.0,0.0,4.0,2.0,2.0,122250,story_1_half_fin,GasA,N,FuseA,N,Unf,no_fence,Rec
5,5,1955,3,3,4,1,0,3,1,6,0,280,0,0,4,3.0,172.0,1382.0,0.0,1.0,,3.0,3.0,153000,story_1,GasA,Y,FuseA,Y,Unf,GdWo,Rec
5,5,2007,3,3,3,1,0,3,1,6,0,0,0,0,5,3.0,206.0,1120.0,0.0,0.0,,,,147000,story_1,GasA,Y,SBrkr,Y,no_garage,no_fence,ALQ
7,8,1995,3,3,3,1,0,2,1,5,1,0,0,0,3,3.0,246.0,531.0,1.0,0.0,4.0,3.0,3.0,148500,story_2,GasA,Y,SBrkr,Y,Unf,MnPrv,GLQ
7,5,2004,4,3,4,2,0,3,1,7,0,0,0,0,5,3.0,0.0,976.0,0.0,0.0,,3.0,3.0,130000,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,Unf
9,5,2006,5,3,5,2,1,3,1,7,1,158,0,0,5,3.0,0.0,1802.0,0.0,0.0,4.0,3.0,3.0,372000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,Unf
7,5,2005,4,3,4,2,0,2,1,6,1,142,0,0,5,3.0,16.0,1362.0,0.0,0.0,4.0,3.0,3.0,213490,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
7,5,2010,4,3,4,1,0,1,1,5,2,0,0,0,5,3.0,1346.0,1508.0,1.0,0.0,3.0,3.0,3.0,308030,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
7,5,1997,4,3,4,3,0,3,1,7,0,0,0,0,5,3.0,700.0,1840.0,1.0,0.0,,3.0,3.0,300000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
6,6,1959,3,3,3,1,0,3,1,6,1,0,0,0,5,3.0,655.0,655.0,0.0,1.0,2.0,3.0,3.0,159500,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,ALQ
7,5,2004,4,3,4,2,0,3,1,7,0,0,0,0,5,3.0,0.0,970.0,0.0,0.0,,3.0,3.0,137500,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,Unf
7,5,2005,4,3,4,2,0,3,1,7,0,208,0,0,5,3.0,0.0,1616.0,0.0,0.0,,3.0,3.0,232000,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,Unf
6,6,1950,4,4,3,1,0,1,1,4,0,0,0,0,3,3.0,0.0,768.0,0.0,0.0,,3.0,3.0,93850,story_1,GasA,Y,SBrkr,N,Unf,no_fence,Unf
5,5,1950,3,3,2,1,0,2,1,5,1,0,0,0,2,3.0,0.0,872.0,0.0,0.0,4.0,2.0,2.0,105000,story_1,GasA,N,FuseF,N,Unf,no_fence,Unf
4,6,1950,3,3,2,1,0,1,1,4,0,49,0,0,2,3.0,0.0,520.0,0.0,0.0,,2.0,3.0,68500,story_1,GasA,N,SBrkr,Y,Unf,no_fence,Unf
5,5,1960,3,3,3,2,0,5,2,12,0,0,0,0,3,3.0,443.0,1105.0,0.0,0.0,,3.0,3.0,154300,story_2,GasA,Y,FuseA,Y,Unf,no_fence,Rec
5,7,2003,4,4,3,2,0,3,1,6,0,0,0,0,5,1.0,0.0,936.0,0.0,0.0,,,,129850,story_1_half_fin,GasA,Y,SBrkr,N,no_garage,no_fence,Unf
5,7,1950,3,3,3,1,0,3,1,6,0,280,0,0,5,3.0,168.0,616.0,0.0,0.0,,2.0,2.0,114000,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,BLQ
9,5,2009,5,3,5,2,0,1,1,9,1,0,0,0,5,3.0,1904.0,2216.0,1.0,0.0,4.0,3.0,3.0,501837,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
5,8,1950,3,3,3,1,1,4,1,7,1,418,0,0,4,3.0,0.0,876.0,0.0,0.0,4.0,3.0,3.0,153900,story_1_half_fin,GasA,Y,SBrkr,Y,Unf,no_fence,Unf
4,7,2006,3,4,3,1,0,3,1,5,0,200,0,0,4,3.0,240.0,864.0,0.0,0.0,,3.0,3.0,130000,story_1,GasA,Y,SBrkr,Y,Unf,GdWo,ALQ
6,5,1997,3,3,3,2,0,2,1,4,0,0,0,0,5,3.0,864.0,1189.0,1.0,0.0,,3.0,3.0,160500,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
9,5,2006,5,3,4,2,0,2,1,6,1,228,0,0,5,4.0,415.0,1666.0,1.0,0.0,4.0,3.0,3.0,310090,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
7,5,2003,4,3,4,2,0,2,1,5,0,0,0,0,5,3.0,833.0,1176.0,1.0,0.0,,3.0,3.0,184900,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
5,7,2000,3,3,3,1,0,2,1,4,0,261,0,0,3,3.0,377.0,928.0,0.0,0.0,,3.0,3.0,132000,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,Rec
5,5,1969,3,3,3,2,0,3,1,6,1,312,0,1000,3,3.0,553.0,1288.0,0.0,1.0,2.0,3.0,3.0,163000,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,ALQ
7,5,2004,4,3,4,2,1,2,1,4,0,0,0,0,5,3.0,280.0,600.0,0.0,0.0,,3.0,3.0,155000,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
6,6,1969,3,3,3,2,0,4,1,7,0,0,0,0,4,3.0,828.0,1427.0,0.0,1.0,,3.0,3.0,183000,split_level,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
7,5,2002,4,3,4,2,1,3,1,7,2,225,0,0,5,3.0,762.0,860.0,1.0,0.0,3.0,3.0,3.0,211000,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
7,5,1994,4,3,4,2,1,3,1,6,0,140,0,0,5,3.0,36.0,754.0,1.0,0.0,,3.0,3.0,184000,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,LwQ
5,5,1979,3,3,3,2,0,4,2,8,0,0,0,0,3,,0.0,0.0,0.0,0.0,,3.0,3.0,118858,story_1,GasA,Y,SBrkr,Y,Unf,GdPrv,no_basement
5,7,1964,3,3,3,1,0,3,1,6,1,227,0,0,3,3.0,1014.0,1152.0,1.0,0.0,4.0,3.0,3.0,180500,split_level,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
8,5,2007,4,3,4,2,0,2,1,5,0,0,0,0,5,3.0,60.0,1141.0,1.0,0.0,,3.0,3.0,166000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
6,5,1960,3,3,3,1,0,3,1,6,1,0,0,0,5,3.0,588.0,1138.0,0.0,1.0,3.0,3.0,3.0,148000,split_level,GasA,Y,SBrkr,Y,RFn,MnPrv,BLQ
5,5,1956,3,3,4,1,0,2,1,6,1,0,0,0,4,3.0,438.0,894.0,0.0,0.0,4.0,3.0,3.0,124000,story_1,GasA,Y,SBrkr,Y,Unf,GdWo,Rec
9,5,2005,5,3,5,2,0,2,1,6,1,203,0,0,5,3.0,1153.0,1561.0,1.0,0.0,4.0,3.0,3.0,277500,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
8,5,1995,4,3,4,2,1,4,1,9,1,307,0,0,5,3.0,527.0,1342.0,0.0,0.0,5.0,3.0,3.0,350000,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,ALQ
9,5,2004,5,3,5,2,0,2,1,7,1,214,0,0,5,3.0,1337.0,1884.0,1.0,0.0,4.0,3.0,3.0,387000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
4,7,2002,3,3,3,1,0,2,1,5,0,0,0,0,5,3.0,348.0,528.0,1.0,0.0,,,,86000,story_1,GasA,Y,SBrkr,N,no_garage,no_fence,ALQ
8,9,2007,5,5,5,3,0,3,1,6,1,280,0,0,5,5.0,1044.0,1426.0,1.0,0.0,4.0,3.0,3.0,290000,story_1,GasA,Y,SBrkr,Y,RFn,GdWo,GLQ
3,3,1950,3,2,3,1,0,2,1,5,0,0,0,0,3,3.0,0.0,245.0,0.0,0.0,,,,44000,story_1,GasA,N,SBrkr,N,no_garage,no_fence,Unf
6,5,2002,3,3,4,2,1,3,1,7,1,125,0,0,5,3.0,690.0,804.0,1.0,0.0,3.0,3.0,3.0,215000,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,ALQ
5,6,1972,3,3,3,2,0,2,1,6,0,140,0,0,5,3.0,962.0,1153.0,1.0,0.0,,3.0,3.0,146500,story_1,GasA,Y,SBrkr,Y,Fin,MnPrv,GLQ
7,5,2000,4,3,4,2,1,3,1,6,0,153,0,0,5,3.0,641.0,673.0,1.0,0.0,,3.0,3.0,165000,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,GLQ
6,7,1950,3,4,4,2,0,5,1,10,1,88,0,0,3,3.0,168.0,714.0,0.0,0.0,4.0,3.0,3.0,136000,story_1_half_fin,GasW,N,SBrkr,Y,Unf,GdWo,Rec
6,6,1957,3,3,5,1,1,1,1,4,2,0,0,0,5,3.0,1110.0,1705.0,1.0,0.0,4.0,3.0,3.0,252000,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,ALQ
7,5,2003,4,3,4,2,1,2,1,6,0,0,0,0,5,3.0,0.0,764.0,0.0,0.0,,3.0,3.0,175500,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,Unf
5,6,1950,3,3,3,1,1,3,1,7,1,0,0,0,3,3.0,421.0,690.0,0.0,0.0,4.0,3.0,3.0,150000,story_2,GasA,Y,FuseA,Y,Unf,MnPrv,ALQ
5,5,1978,3,3,3,1,0,3,1,6,1,0,0,1000,3,3.0,0.0,978.0,0.0,0.0,3.0,3.0,3.0,139900,story_1,GasA,Y,SBrkr,Y,RFn,GdWo,Unf
5,7,1992,3,3,3,2,0,3,1,8,1,0,0,0,3,3.0,0.0,1078.0,0.0,0.0,4.0,3.0,3.0,162900,story_1_half_fin,GasA,Y,SBrkr,P,Unf,no_fence,Unf
6,6,1962,3,3,3,1,1,3,1,5,0,0,0,0,3,3.0,0.0,1116.0,0.0,0.0,,3.0,3.0,160000,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,Unf
2,2,1950,3,3,2,1,0,2,1,5,0,0,0,0,2,,0.0,0.0,0.0,0.0,,,,63900,story_1,GasA,N,SBrkr,N,no_garage,no_fence,no_basement
6,5,1998,3,3,3,2,0,3,1,7,1,0,0,0,4,3.0,832.0,1140.0,0.0,0.0,3.0,3.0,3.0,184000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,ALQ
5,4,1959,3,3,2,1,1,3,1,6,2,0,0,0,3,3.0,176.0,1466.0,0.0,0.0,4.0,3.0,3.0,149900,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,BLQ
9,5,2000,4,3,5,2,0,2,1,5,1,230,0,0,5,3.0,1027.0,1614.0,1.0,0.0,3.0,3.0,3.0,300000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
5,3,1960,3,3,3,2,0,3,1,7,2,50,0,0,4,3.0,988.0,988.0,1.0,0.0,3.0,3.0,3.0,145000,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,Rec
6,5,1997,3,3,4,2,1,3,1,7,0,276,0,0,5,3.0,821.0,928.0,1.0,0.0,,3.0,3.0,231500,story_2,GasA,Y,SBrkr,Y,RFn,MnPrv,GLQ
5,6,1969,3,3,3,1,0,3,1,6,1,144,0,0,5,3.0,290.0,996.0,1.0,0.0,4.0,,,108000,story_1,GasA,Y,SBrkr,Y,no_garage,no_fence,BLQ
5,5,1956,3,3,3,1,0,3,1,6,0,0,0,0,3,3.0,435.0,1202.0,0.0,1.0,,3.0,3.0,120000,story_1,GasA,Y,SBrkr,Y,RFn,GdWo,Rec
5,5,1961,3,3,3,1,0,3,1,5,0,0,0,0,3,3.0,827.0,988.0,1.0,0.0,,3.0,3.0,128500,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,Rec
5,6,1950,3,3,3,1,0,2,1,5,1,0,0,0,4,3.0,0.0,1008.0,0.0,0.0,4.0,3.0,3.0,115000,story_1,GasA,Y,FuseA,Y,Unf,no_fence,Unf
5,7,1950,3,3,3,1,1,2,1,5,0,0,0,0,3,3.0,312.0,720.0,0.0,0.0,,3.0,3.0,110000,story_1_half_fin,GasA,Y,SBrkr,Y,Unf,MnWw,LwQ
9,3,1977,4,4,4,2,2,3,1,9,1,140,0,0,3,3.0,410.0,994.0,0.0,0.0,4.0,3.0,3.0,150000,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
8,5,2004,4,3,4,2,1,3,1,6,1,100,0,0,5,4.0,0.0,707.0,0.0,0.0,4.0,3.0,3.0,178000,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,Unf
7,7,1990,3,3,4,1,1,3,1,8,2,0,0,0,5,3.0,0.0,637.0,0.0,0.0,4.0,3.0,3.0,199500,story_2,GasA,Y,SBrkr,Y,Unf,GdWo,Unf
6,5,1998,3,3,3,2,1,3,1,6,1,421,0,0,5,3.0,700.0,813.0,1.0,0.0,3.0,3.0,3.0,183500,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
5,5,1967,2,3,3,1,1,3,1,7,1,0,0,0,5,3.0,257.0,624.0,0.0,0.0,1.0,3.0,3.0,126000,split_level,GasA,Y,SBrkr,Y,Unf,MnPrv,Rec
7,6,1977,3,3,3,2,0,2,1,4,0,0,0,0,2,3.0,378.0,1055.0,0.0,0.0,,3.0,3.0,148500,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,ALQ
5,7,2006,3,4,4,2,0,4,1,7,0,187,0,0,5,3.0,0.0,676.0,0.0,1.0,,3.0,3.0,149000,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,Unf
6,5,1977,3,3,3,2,1,3,1,6,1,0,0,0,3,3.0,389.0,855.0,0.0,0.0,3.0,3.0,3.0,137900,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,ALQ
8,5,1993,4,3,4,1,1,1,1,6,2,122,0,0,5,3.0,1619.0,1719.0,2.0,0.0,4.0,3.0,3.0,324000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
